ID,Reward
157875,-0.4248819649219513
273579,-0.425340861082077
364201,-0.43039608001708984
21889,-0.42800503969192505
419834,-0.4359188973903656
200910,-0.4285723567008972
120520,-0.4236021041870117
536884,-0.43615561723709106
441949,-0.4320489168167114
237363,-0.4214116930961609
216357,-0.42633867263793945
572250,-0.43623366951942444
67956,-0.4266457259654999
328569,-0.4364382028579712
65345,-0.43655791878700256
227468,-0.42850756645202637
268454,-0.433663547039032
32174,-0.43232834339141846
238749,-0.42106330394744873
63572,-0.4251168966293335
178208,-0.4293842315673828
277145,-0.42888343334198
298122,-0.4395868182182312
335696,-0.4268384575843811
52631,-0.43198490142822266
62193,-0.4266711473464966
430125,-0.4308781623840332
496301,-0.4336800277233124
333892,-0.4216708540916443
437516,-0.4310380816459656
344763,-0.4380212724208832
558851,-0.43030107021331787
275988,-0.42659270763397217
40219,-0.4326411485671997
217645,-0.43266820907592773
178121,-0.42923837900161743
186611,-0.4269399642944336
103318,-0.42744728922843933
340129,-0.4285624325275421
445327,-0.4328792691230774
477335,-0.42732754349708557
362739,-0.4256063997745514
412853,-0.4295574724674225
387392,-0.43417245149612427
560567,-0.4241974949836731
160774,-0.4249354302883148
319359,-0.44076067209243774
559024,-0.4339190125465393
510304,-0.43170279264450073
267956,-0.45777976512908936
222639,-0.4361882209777832
66642,-0.4568498134613037
560254,-0.42649364471435547
550690,-0.43294772505760193
228754,-0.4301079511642456
122973,-0.42431002855300903
157026,-0.43234193325042725
66292,-0.43994390964508057
240449,-0.4397204518318176
271298,-0.4307560920715332
425862,-0.43177661299705505
184908,-0.4262726306915283
398214,-0.4205285906791687
66909,-0.4203178286552429
572025,-0.43089908361434937
33408,-0.4315670132637024
337833,-0.42607009410858154
512495,-0.4264214038848877
343255,-0.4338747560977936
109450,-0.4281635880470276
262425,-0.42748311161994934
293240,-0.4292801022529602
235987,-0.4164212942123413
52572,-0.4207680821418762
95822,-0.42770105600357056
3478,-0.4388771057128906
256087,-0.4274005889892578
31250,-0.42869096994400024
572840,-0.42539918422698975
169575,-0.4285864233970642
412194,-0.440340518951416
575641,-0.4322163760662079
383250,-0.42524832487106323
114648,-0.4124531149864197
299920,-0.4307481050491333
496646,-0.4311777949333191
227178,-0.4318681061267853
186784,-0.44043654203414917
320918,-0.4219016134738922
568725,-0.42805159091949463
199484,-0.4292284846305847
551934,-0.4232606291770935
155942,-0.4233452379703522
468357,-0.4263877272605896
540097,-0.44110944867134094
248622,-0.4265439212322235
359399,-0.42103371024131775
361619,-0.43415993452072144
7625,-0.43558019399642944
244088,-0.43487921357154846
115374,-0.4376417398452759
223650,-0.42569613456726074
529203,-0.4238032400608063
210909,-0.43162500858306885
429688,-0.4330780506134033
200391,-0.43125119805336
537300,-0.4274398684501648
258688,-0.42517805099487305
277165,-0.41300415992736816
504540,-0.4149967432022095
371282,-0.4334103465080261
341529,-0.42578616738319397
53546,-0.4275464713573456
429709,-0.42413944005966187
215600,-0.42317646741867065
431494,-0.42437970638275146
414495,-0.4179317355155945
64357,-0.43270495533943176
65971,-0.3216148912906647
279716,-0.42441219091415405
468722,-0.4275992512702942
188702,-0.42252159118652344
281505,-0.42411062121391296
223459,-0.42306506633758545
498782,-0.4271085262298584
7274,-0.4285939931869507
307966,-0.42285633087158203
9987,-0.43249255418777466
330265,-0.4264029860496521
427060,-0.42162972688674927
351972,-0.4318772852420807
86358,-0.4602135121822357
565257,-0.4146978259086609
301508,-0.4303860068321228
392723,-0.42634856700897217
472394,-0.4350540041923523
333463,-0.4235890507698059
398957,-0.4304423928260803
405827,-0.4259949028491974
33732,-0.4411924183368683
272804,-0.431519091129303
523211,-0.440726637840271
436918,-0.4294584393501282
559591,-0.41601166129112244
376013,-0.3945423364639282
170976,-0.4296794533729553
571803,-0.43110334873199463
18529,-0.43434572219848633
52044,-0.4193786382675171
127750,-0.4290271997451782
258019,-0.4255771040916443
322309,-0.43058422207832336
53740,-0.42411673069000244
351217,-0.45702794194221497
331479,-0.44939732551574707
300270,-0.42601823806762695
512100,-0.4326986074447632
163975,-0.42769935727119446
412631,-0.4265453815460205
468383,-0.42966458201408386
311641,-0.43254420161247253
331505,-0.42858877778053284
501054,-0.4398687779903412
128682,-0.4369836449623108
87642,-0.42498427629470825
166975,-0.42562219500541687
471245,-0.4245173931121826
71907,-0.4293766915798187
33718,-0.42855408787727356
485954,-0.4225272238254547
516084,-0.42519789934158325
530653,-0.4343176782131195
382182,-0.4390949010848999
80040,-0.4294947385787964
269228,-0.425670325756073
56126,-0.4207238554954529
23098,-0.4282100200653076
522771,-0.42482835054397583
71214,-0.4207431674003601
175210,-0.43633317947387695
410535,-0.41807883977890015
250084,-0.43595021963119507
324603,-0.4382475018501282
365034,-0.44228610396385193
226018,-0.43127286434173584
248459,-0.4270189106464386
103366,-0.42580628395080566
89101,-0.4270991086959839
150211,-0.4238157570362091
13468,-0.44315069913864136
535160,-0.4308551251888275
278936,-0.4325934946537018
128647,-0.429204523563385
54764,-0.43558886647224426
354878,-0.4291888475418091
566262,-0.42954033613204956
199112,-0.42331409454345703
191625,-0.4305671453475952
303436,-0.43498140573501587
267611,-0.42739519476890564
277352,-0.43461236357688904
475808,-0.41609159111976624
111930,-0.4470371603965759
158759,-0.4273698925971985
485350,-0.41211241483688354
285099,-0.49831435084342957
6352,-0.4250814914703369
511446,-0.4327457845211029
27792,-0.4275996685028076
576233,-0.44014519453048706
258132,-0.43155670166015625
337779,-0.4226530194282532
88456,-0.4276054799556732
514559,-0.4274708032608032
147174,-0.432914674282074
319468,-0.4296135902404785
224991,-0.4275796413421631
468013,-0.42887985706329346
389577,-0.427787721157074
283859,-0.4345611333847046
274665,-0.4338363707065582
119469,-0.42540884017944336
91379,-0.4396623373031616
245419,-0.4257708191871643
196096,-0.4348793029785156
318778,-0.42468899488449097
528550,-0.4298332929611206
